NAME OF BURSARY	LINK	ENTRY PROVINCE	AGE MIN	AGE MAX	ENGLISH/FRENCH COMPETENT (oral and written)	STUDENT-BASED(Y/N)	SCHOOL OF STUDY (NONE if not student, ANY for any school)	GRADE AVERAGE (NONE, if none needed)	MARRIAGE STATUS (Married, Single, ANY)	NUMBER OF DEPENDANTS (ANY for acceptance regardless)	ETHNICITY (ANY for open acceptance)	Minimum Number of Years in Canada	VALUE	# AVAILABLE	STEPS
Incoming Refugee Sponsorship Bursary (IRSB) - ON	https://static1.squarespace.com/static/56d1fe3ed210b8b23f16d059/t/5aaff3042b6a28d1b413f7ca/1521480453390/Incoming+Refugee+Sponsorship+Bursary+%282%29.pdf	ANY	17	30	ANY	Y	Concordia	NONE	ANY	ANY	ANY	1			
Student Refugee Program (SRP)	https://srp.wusc.ca/students/	ANY	18	25	Y	Y	ANY	NONE	ANY	0	Jordan, Kenya, Lebanon, Malawi, Tanzania, Uganda	3			
Refugee Bursary Application	https://www.trios.com/career/?Section=Refugee-Bursary	Ontario	17	100	ANY	Y	Trios College 	NONE	ANY	ANY	ANY	0			
Resettlement Assistance Program (RAP)  - All Provinces, excluding Quebec	http://www.rstp.ca/wp-content/uploads/2019/03/Start-up.pdf	Alberta, British Columbia, Manitoba, New Brunswick, Newfoundland and Labrador, Nova Scotia, Ontario, Prince Edward Island, Saskatchewan	0	100	ANY	N	NONE	NONE	ANY	ANY	ANY	0			
Ontario Resettlement Assistance Program (RAP) Rates	http://www.rstp.ca/wp-content/uploads/2018/08/Ontario-new-rate.pdf	Ontario	0	100	ANY	N	NONE	NONE	ANY	ANY	ANY	0			
Alberta Resettlement Assistance Program (RAP) Rate	http://www.rstp.ca/wp-content/uploads/2018/08/Alberta-RAP-rates.pdf	Alberta	0	100	ANY	N	NONE	NONE	ANY	ANY	ANY	0			
British Columbia Resettlement Assistance Program (RAP) Rates	http://www.rstp.ca/wp-content/uploads/2018/08/British-Columbia-RAP-rates.pdf	British Coloumbia	0	100	ANY	N	NONE	NONE	ANY	ANY	ANY	0			
Manitoba Resettlement Assistance Program (RAP) Rates	http://www.rstp.ca/wp-content/uploads/2018/08/Manitoba-RAP-rates.pdf	Manitoba	0	100	ANY	N	NONE	NONE	ANY	ANY	ANY	0			
New Brunswick Resettlement Assistance Program (RAP) Rates	http://www.rstp.ca/wp-content/uploads/2018/08/New-Brunswick-RAP-rates.pdf	New Brunswick	0	100	ANY	N	NONE	NONE	ANY	ANY	ANY	0			
Newfoundland Resettlement Assistance Program (RAP) Rates	http://www.rstp.ca/wp-content/uploads/2018/08/Newfoundland-RAP-rates.pdf	Newfoundland	0	100	ANY	N	NONE	NONE	ANY	ANY	ANY	0			
Nova Scotia Resettlement Assistance Program (RAP) rates	http://www.rstp.ca/wp-content/uploads/2018/08/Nova-Scotia-RAP-rates.pdf	Nova Scotia	0	100	ANY	N	NONE	NONE	ANY	ANY	ANY	0			
Prince Edward Island Resettlement Assistance Program (RAP) rates	http://www.rstp.ca/wp-content/uploads/2018/08/Prince-Edward-Island-RAP-rates.pdf	Prince  Edward Islaand	0	100	ANY	N	NONE	NONE	ANY	ANY	ANY	0			
Saskatchewan Resettlement Assistance Program (RAP) Rates	http://www.rstp.ca/wp-content/uploads/2018/08/Saskatchewan-RAP-rates.pdf	Saskatchewan	0	100	ANY	N	NONE	NONE	ANY	ANY	ANY	0			